Entry ID,[Filter],Party vigor,Magic EXP,Enemy #0 ID,[JP enemy #0 name],Enemy #1 ID,[JP enemy #1 name],Enemy #2 ID,[JP enemy #2 name],Enemy #3 ID,[JP enemy #3 name],Enemy #4 ID,[JP enemy #4 name],Enemy #5 ID,[JP enemy #5 name],Enemy #6 ID,[JP enemy #6 name],Enemy #7 ID,[JP enemy #7 name]
0,A099_EP.BIN,19,1,3,マロッカ,3,マロッカ,3,マロッカ,255,None,255,None,255,None,255,None,255,None
1,A099_EP.BIN,19,1,3,マロッカ,3,マロッカ,3,マロッカ,3,マロッカ,3,マロッカ,255,None,255,None,255,None
2,A099_EP.BIN,14,1,3,マロッカ,3,マロッカ,3,マロッカ,3,マロッカ,3,マロッカ,3,マロッカ,3,マロッカ,255,None
3,A099_EP.BIN,19,1,3,マロッカ,3,マロッカ,3,マロッカ,15,ヌール,15,ヌール,255,None,255,None,255,None
4,A099_EP.BIN,19,1,3,マロッカ,3,マロッカ,3,マロッカ,29,エルモ,29,エルモ,255,None,255,None,255,None
5,A099_EP.BIN,19,1,3,マロッカ,15,ヌール,29,エルモ,255,None,255,None,255,None,255,None,255,None
6,A099_EP.BIN,14,1,3,マロッカ,3,マロッカ,15,ヌール,15,ヌール,29,エルモ,29,エルモ,255,None,255,None
7,A099_EP.BIN,24,1,15,ヌール,15,ヌール,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None
8,A099_EP.BIN,19,1,15,ヌール,15,ヌール,29,エルモ,29,エルモ,29,エルモ,255,None,255,None,255,None
9,A099_EP.BIN,19,1,15,ヌール,15,ヌール,15,ヌール,29,エルモ,29,エルモ,255,None,255,None,255,None
10,A099_EP.BIN,14,1,15,ヌール,15,ヌール,15,ヌール,29,エルモ,29,エルモ,29,エルモ,255,None,255,None
11,A099_EP.BIN,19,1,4,アーアペプ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None,255,None
12,A099_EP.BIN,19,1,4,アーアペプ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None,255,None
13,A099_EP.BIN,19,1,4,アーアペプ,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
14,A099_EP.BIN,19,1,4,アーアペプ,29,エルモ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None
15,A099_EP.BIN,19,1,4,アーアペプ,15,ヌール,29,エルモ,255,None,255,None,255,None,255,None,255,None
16,A099_EP.BIN,19,1,4,アーアペプ,15,ヌール,15,ヌール,29,エルモ,29,エルモ,255,None,255,None,255,None
17,A099_EP.BIN,19,1,4,アーアペプ,4,アーアペプ,255,None,255,None,255,None,255,None,255,None,255,None
18,A099_EP.BIN,9,1,2,ミクラステル,2,ミクラステル,255,None,255,None,255,None,255,None,255,None,255,None
19,A099_EP.BIN,9,1,2,ミクラステル,2,ミクラステル,2,ミクラステル,255,None,255,None,255,None,255,None,255,None
20,A099_EP.BIN,9,1,2,ミクラステル,2,ミクラステル,2,ミクラステル,2,ミクラステル,255,None,255,None,255,None,255,None
21,A099_EP.BIN,24,1,13,アスフール,13,アスフール,13,アスフール,13,アスフール,255,None,255,None,255,None,255,None
22,A099_EP.BIN,24,1,13,アスフール,13,アスフール,13,アスフール,13,アスフール,13,アスフール,255,None,255,None,255,None
23,A099_EP.BIN,29,1,96,ロッキ,96,ロッキ,96,ロッキ,255,None,255,None,255,None,255,None,255,None
24,A099_EP.BIN,29,1,96,ロッキ,96,ロッキ,96,ロッキ,96,ロッキ,255,None,255,None,255,None,255,None
25,A099_EP.BIN,19,1,13,アスフール,13,アスフール,13,アスフール,96,ロッキ,255,None,255,None,255,None,255,None
26,A099_EP.BIN,19,1,13,アスフール,13,アスフール,13,アスフール,96,ロッキ,255,None,255,None,255,None,255,None
27,A099_EP.BIN,14,1,13,アスフール,13,アスフール,13,アスフール,13,アスフール,96,ロッキ,96,ロッキ,255,None,255,None
28,A099_EP.BIN,4,2,2,ミクラステル,2,ミクラステル,2,ミクラステル,2,ミクラステル,2,ミクラステル,2,ミクラステル,2,ミクラステル,255,None
29,A099_EP.BIN,9,2,4,アーアペプ,4,アーアペプ,4,アーアペプ,255,None,255,None,255,None,255,None,255,None
30,A099_EP.BIN,14,1,0,軍艦兵,0,軍艦兵,0,軍艦兵,0,軍艦兵,255,None,255,None,255,None,255,None
31,A099_EP.BIN,14,4,128,アントニオ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
